Key,Localized_vn,Localized_en,Localized_indo
product_feta_pie_name,Bánh Phô Mai Tươi,Feta Pie,Kue Keju Segar
product_casserole_name,Bánh Thịt Bỏ Lò,Casserole,Kue daging panggang
product_shepherds_pie_name,Bánh Khoai Nhân Thịt,Shepherds Pie,Kue Kentang isi daging
product_sweater_name,Áo Len,Sweater,Baju Wol
product_blue_woolly_hat_name,Mũ Len Xanh,Blue Woolly Hat,Topi Wol Hijau
product_blue_sweater_name,Áo Len Xanh,Blue Sweater,Baju Wol Hijau
product_carrot_cake_name,Bánh Kem Cà Rốt,Carrot Cake,Kue Es Krim Wortel
product_cream_cake_name,Bánh Kem Tươi,Cream Cake,Kue Es Krim Segar
product_red_berry_cake_name,Bánh Kem Mâm Xôi,Redberry Cake,Kue Es Krim Raspberry
product_cheese_cake_name,Bánh Kem Phô Mai,Cheese Cake,Kue Es Krim Keju
product_strawberry_cake_name,Bánh Kem Dâu,Strawberry Cake,Kue Es Krim Strawbery
product_chocolate_cake_name,Bánh Kem Sôcôla,Chocolate Cake,Kue Es Krim Coklat
product_potato_feta_cake_name,Bánh Khoai Phô Mai,Feta Cake,Kue Kentang Keju
metal_silver_bar_name,Bạc Thỏi,Silver Bar,Perak batangan
metal_gold_bar_name,Vàng Thỏi,Gold Bar,Emas Batangan
metal_platinum_bar_name,Bạch Kim Thỏi,Platinum Bar,Platinum Batangan
product_apple_juice_name,Nước Táo,Apple Juice,Jus Apel
product_carrot_juice_name,Nước Cà Rốt,Carrot Juice,Jus Wortel
product_tomato_juice_name,Nước Cà Chua, Tomato Juice,Jus Tomat
product_cherry_juice_name,Nước Anh Đào, Cherry Juice,Jus Ceri
product_berry_juice_name,Nước Mâm Xôi, Berry Juice,Jus Rapsberry
product_vanilla_ice_cream_name,Kem Vani , Vanilla Ice Cream ,Es Krim Vani
product_cherry_popsicle_name,Kem Anh Đào,Cherry Ice Cream,Es Krim Ceri
product_strawberry_ice_cream_name,Kem Dâu,Strawberry Ice Cream,Es Krim Strawberry
product_chocolate_ice_cream_name,Kem Sôcôla,Chocolate Ice Cream�,Es Krim Coklat
product_apple_jam_name,Mứt Táo,Apple Jam,Manisan Apel
product_blackberry_jam_name,Mứt Phúc Bồn Tử,Blackberry Jam,Manisan Blackberry
product_cherry_jam_name,Mứt Anh Đào,Cherry Jam,Manisan Ceri
product_raspberry_jam_name,Mứt Mâm Xôi,Raspberry Jam,Manisan Raspberry
jewel_bracelet_name,Vòng Tay,Bracelet,Gelang
jewel_necklace_name,Vòng Cổ,Necklace,Kalung
jewel_diamon_ring_name,Nhẫn Kim Cương,Rubi Ring,Cincin Berlian
product_espresso_name,Cà Phê Espresso,Espresso,Kopi Espresso
product_cafe_latte_name,Cà Phê Sữa,Café Latte,Kopi Susu
product_cafe_mocha_name,Cà Phê Kem Tươi,Café Mocha,Kopi Es Krim Segar
product_hot_chocolate_name,Sôcôla Nóng,Hot Chocolate,Coklat Panas
product_raspberry_mocha_name,Cà Phê Mâm Xôi,Raspberry Mocha,Kopi Raspberry
product_toffee_name,Kẹo Bơ Hạnh Nhân,Toffee,Permen Mentega Badam
product_caramel_apple_name,Kẹo Táo,Caramel Apple,Permen Apel
product_jelly_beans_name,Kẹo Dẻo,Jelly Beans,Permen Jeli
product_lollipop_name,Kẹo Mút,Lollipop,Permen Lolipop
Product_cafe_moche_name,Cà Phê Kem Tươi,Cà Phê Kem Tươi,Kopi Mocha
product_cafe_moche_name,Cà Phê Kem Tươi,Cà Phê Kem Tươi,Kopi Mocha
product_cafe_letter_name,Ca Phê Sữa,Ca Phê Sữa,Kopi Susu
product_chocolate_name,Kẹo Sôcôla,Chocolate,Permen Coklat
tool_dynamite_name,Thuốc Nổ,Dynamite,Bahan ledak
tool_demolition_charge_name,Mìn Phá Đá,TNT Barrel,Ranjau penghancur batu
tool_axe_name,Rìu,Axe,Kapak
tool_saw_name,Cưa,Saw,Gergaji
tool_shovel_name,Xẻng,Shovel,Sekop
tool_nail_name,Hộp Đinh,Nail,Kotak paku
tool_screw_name,Đinh Vít,Screw,Baut Pengikat
tool_woodPanel_name,Ván Đôi,Wood Panel,Papan kayu pasangan
tool_bolt_name,Đinh Ốc,Bolt,Baut tajam
tool_plank_name,Ván Dài,Plank,Papan kayu panjang
tool_ductTape_name,Băng Keo,Duct Tape,Perban
tool_land_deed_name,Giấy chứng nhận,Land Deed,Sertifikat
tool_mallet_name,Búa,Mallet,Balu
tool_marker_stake_name,Cọc gỗ,Marker Stake,Kayu Pancang
crop_wheat_name,Lúa Mì,Wheat,Gandum
crop_corn_name,Bắp,Corn,Jagung
crop_carrot_name,Cà Rốt,Carrot,Wortel
crop_soybean_name,Đậu Tương,Soybean,Kedelai
crop_sugarcane_name,Mía,Sugarcane,Tebu
crop_lavender_name,Hoa Oải Hương,Lavender,Bunga Lavender
crop_pumpkin_name,Bí Ngô,Pumpkin,Labu
crop_chili_name,Ớt,Chili,Cabai
crop_tomato_name,Cà Chua,Tomato,Tomat
crop_potato_name,Khoai Tây,Potato,Kentang
crop_strawberry_name,Dâu Tây,Strawberry,Strauberry
chicken_habitat_name,Chuồng Gà,Chicken Habitat,Kandang Ayam
cow_habitat_name,Chuồng Bò,Cow Habitat,Kandang Sapi
pig_habitat_name,Chuồng Heo,Pig Habitat,Kandang Babi
sheep_habitat_name,Chuồng Cừu,Sheep Habitat,Kandang Domba
goat_habitat_name,Chuồng Dê,Goat Habitat,Kandang Kambing
fruit_apple_name,Táo,Apple,Apel
fruit_raspberry_name,Mâm Xôi,Raspberry,Rapsberry
fruit_cherry_name,Anh Đào,Cherry,Ceri
fruit_blackberry_name,Phúc Bồn Tử,Blackberry,Blackberry
fruit_cacao_name,Ca Cao,CaCao,Kakao
fruit_coffee_name,Cà Phê,Coffee,Kopi
feed_mill_name,Máy Xay Thức Ăn,Feed Mill,Blender
bakery_name,Lò Bánh Mì,Bakery,Oven Roti
dairy_name,Xưởng Làm Bơ,Dairy,Pabrik Mentega
sugar_mill_name,Máy Làm Đường,Sugar Mill,Mesin Gula
popcorn_pot_name,Xe Bắp Rang,Popcorn Pot,kerobak popcorn
bbq_grill_name,Lò Nướng BBQ,BBQ Grill,Oven BBQ
pie_oven_name,Máy Nướng Bánh,Pie Oven,Oven Kue
loom_name,Máy Dệt,Loom,Mesin Tenun
cake_oven_name,Máy Bánh Kem,Cake Oven,Mesin Kue Es Krim
smelter_name,Lò Nung,Smelter,Pembakar
juice_press_name,Máy Ép Trái Cây,Juice Press,Mesin Pemeras buah-buahan
icecream_maker_name,Máy Làm Kem,Icecream Maker,Mesin Pembuat Es Krim
jam_maker_name,Máy Làm Mứt,Jam Maker,Mesin pembuat manisan
jeweler_name,Xưởng Chế Tác,Jeweler,Bengkel emas
coffee_kiosk_name,Quán Cà Phê,Coffee Kiosk,kedai kopi
candy_machine_name,Máy Làm Kẹo,Candy Machine,Mesin pembuat permen
chicken_name,Gà tồ,Gà tồ,Ayam konyol
cow_name,Bò sữa,Bò sữa,Sapi perahan
pig_name,Heo béo,Heo béo,Babi gendut
sheep_name,Cừu bông,Cừu bông,Domba kapas
goat_name,Dê già,Dê già,Kambing tua
crop_chili_pepper_name,Ớt,Chili Pepper,Cabai
crop_indigo_name,Hoa Oải Hương,Lavender,Bunga Lavender
product_cafe_latte_name,Cà Phê Sữa,Café Latte,Kopi Susu
product_cafe_mocha_name,Cà Phê Kem Tươi,Café Mocha,Kopi Es Krim Segar
jewel_diamond_ring_name,Nhẫn rubi,Rubi Ring,Cincin Rubi
soup_kitchen_name,Lò súp,Soup Kitchen,Dapur Sup
sauce_maker_name,Máy nước sốt,Sauce Maker,Sauce Maker
sushi_bar_name,Tiệm sushi,Sushi Bar,Sushi Bar
salad_bar_name,Tiệm salad,Salad Bar,Salad Bar
sandwich_bar_name,Tiệm bánh kẹp,Sandwich Bar,Sandwich Bar
lure_machine_name,Máy làm lưới,Net maker,Net Maker
lobster_machine_name,Máy hấp tôm,Lobster Sauna,Lobster Sauna
fruit_lemon_name,Cây chanh,Lemon tree,Pohon Lemon
fruit_olive_name,Cây oliu,Olive,Olive
toolfish_fishing_net_name,Lưới đánh cá,Fishing Net,Jaring Ikan
toolfish_mystery_net_name,Lưới đánh cá VIP,Mystery Net,Jaring Misterius
toolfish_lobster_trap_name,Lướt bắt tôm,Lobster Net,Jaring Lobster
seafood_fish_fillet_name,Phi lê cá,Fish Fillet,Fish Fillet
seafood_lobster_name,Tôm hấp
product_fish_name,Phi lê cá
product_lobster_name,Tôm hấp,Lobster,Lobster
crop_rice_name,Lúa nước,Rice,Nasi
crop_lettuce_name,Rau salad,Lettuce,Selada
product_tomato_soup_name,Súp cà chua,Tomato Soup,Tomato Soup
product_fish_soup_name,Súp cá,Fish Soup,Fish Soup
product_lobster_soup_name,Súp tôm hùm,Lobster Soup,Lobster Soup
product_soy_sauce_name,Nước tương,Soy Sauce,Soy Sauce
product_olive_oil_name,Dầu ô liu,Olive Oil,Olive Oil
product_mayonnaise_name,mayonnaise,Mayonnaise,Mayonnaise
product_sushi_roll_name,Sushi cuộn,Sushi roll,Sushi roll
product_lobster_sushi_name,Sushi tôm hùm,Lobster Sushi,Lobster Sushi
product_egg_sushi_name,Sushi trứng,Egg Sushi,Egg Sushi
product_feta_salad_name,Salad feta,Feta Salad,Feta Salad
product_blt_salad_name,Salad thịt nguội,Bacon Salad,Bacon Salad
product_seafood_salad_name,Salad hải sản,Seafood Salad,Seafood Salad
product_blt_toast_name,Bánh kẹp Toast,Bacon Toast,Bacon Toast
product_veggie_bagel_name,Bánh kẹp cà,Veggie Bagel,Veggie Bagel
product_egg_sandwich_name,Bánh kẹp trứng,Egg Sandwich,Egg Sandwich
product_frutti_di_mare_pizza_name,Pizza hải sản,Frutti di Mare Pizza,Frutti di Mare Pizza
product_chocolate_popcorn_name,Bắp rang cacao,Chocolate Popcorn,Chocolate Popcorn
product_fish_and_chips_name,Cá nướng khoai,Fish and Chips,Fish and Chips
product_fish_pie_name,Bánh sốt cá,Fish Pie,Fish Pie
product_red_scarf_name,Khăn quàng,Red Scarf,Red Scarf
product_strawberry_jam_name,Mứt dâu,Strawberry Jam,Strawberry Jam
product_lobster_name,Tôm hấp,Lobster,Lobster
lobster_machine_description,Hấp tôm,Lobster Sauna,Mesin Lobster
lure_machine_description,"Làm lưới đánh bắt tôm,cá",Produces Nets,Menghasilkan jaring
feed_mill_description,Sản xuất thức ăn,Produces Animal Feed,Produksi makanan
bakery_description,Sản xuất bánh mỳ,Bakes Goods,Produksi Roti
dairy_description,Sản xuất bơ,Produces Dairy Goods,Produksi Mentega
sugar_mill_description,Sản xuất đường,Produces Sugar Goods,Produksi Gula
popcorn_pot_description,Làm bắp rang,Produces Popcorn,Membuat popcorn
bbq_grill_description,Nướng các món BBQ,Grills Food,Memanggang masakan-masakan BBQ
pie_oven_description,Nướng các loại bánh,Bakes Pies,Memanggang jenis-jenis kue
loom_description,Dệt quần áo,Weaves Clothing,Menenun pakaian
cake_oven_description,Làm bánh kem,Bakes Cakes,Membuat kue Es Krim
smelter_description,Luyện kim,Process ore into metal,Metalurgi
juice_press_description,Ép nước hoa quả,Presses juice,Membuat jus buah-buahan
icecream_maker_description,Làm kem các loại,Makes Ice Cream,Membuat bermacam-macam Es Krim
jam_maker_description,Làm mứt các loại,Makes Jam,Membuat bermacam-macam manisan
jeweler_description,Chế tác trang sức,Makes Jewelry,Membuat perhiasan
coffee_kiosk_description,Cà Phê các loại,Produces hot drinks,Kopi berbagai jenis
candy_machine_description,Sản xuất kẹo,Produces candy,produksi permen
soup_kitchen_description,Sản xuất súp,Makes Soup,Membuat Sup
sauce_maker_description,Sản xuất nước sốt,Makes Sauce,Membuat Saus
sushi_bar_description,Làm sushi,Makes Sushi,Membuat Sushi
salad_bar_description,Làm salad,Makes Salad,Membuat Salad
sandwich_bar_description,Làm bánh kẹp,Makes Sanwich,Membuat Sandwich
toolfish_fishing_net_description,Sản xuất từ máy làm lưới
toolfish_mystery_net_description,Sản xuất từ máy làm lưới
toolfish_lobster_trap_description,Sản xuất từ máy làm lưới
empty_field_detail_tab,Để gieo trồng,Grow Crops,Untuk dipanen
chicken_habitat_detail_tab,Chứa được 6 con,Home for 6 Chickens,Cukup buat 6 ekor
cow_habitat_detail_tab,Chứa được 5 con,Home for 5 cows,cukup buat 5 ekor
pig_habitat_detail_tab,Chứa được 5 con,Home for 5 pigs,cukup buat 5 ekor
sheep_habitat_detail_tab,Chứa được 5 con,Home for 5 sheep,cukup buat 5 ekor
goat_habitat_detail_tab,Chứa được 5 con,Home for 4 Goat,cukup buat 5 ekor
fruit_apple_detail_tab,Thu hoạch 3 lần,Collect three times,Pemanenan 3 kali
fruit_raspberry_detail_tab,Thu hoạch 3 lần, Collect three times,Pemanenan 3 kali
fruit_cherry_detail_tab,Thu hoạch 3 lần, Collect three times,Pemanenan 3 kali
fruit_blackberry_detail_tab,Thu hoạch 3 lần, Collect three times,Pemanenan 3 kali
fruit_cacao_detail_tab,Thu hoạch 3 lần, Collect three times,Pemanenan 3 kali
fruit_coffee_detail_tab,Thu hoạch 3 lần, Collect three times,Pemanenan 3 kali
feed_mill_detail_tab,Để sản xuất thức ăn,Produces Animal Food,Pemanenan 3 kali
bakery_detail_tab,Để nướng bánh,Bakes Goods,Untuk memanggang kue
dairy_detail_tab,Làm bơ sữa,Produces Dairy Goods,membuat mentega
sugar_mill_detail_tab,Làm đường mía,Produces Sugar Goods,Untuk membuat mentega
popcorn_pot_detail_tab,Làm bắp rang,Produces Popcorn,membuat popcorn
bbq_grill_detail_tab,Để nướng thức ăn,Grills Goods,Untuk memanggang makanan
pie_oven_detail_tab,Làm bánh nướng,Bakes Pies,membuat kue panggang
loom_detail_tab,Dệt quần áo,Weaves Clothing,menenun pakaian
cake_oven_detail_tab,Làm bánh kem,Bakes Cakes,membuat kue Es Krim
smelter_detail_tab,Đúc kim loại,Process metal,Menempah logam
juice_press_detail_tab,Để làm nước ép trái cây,Produces Juice,Untuk membuat jus buah-buahan
icecream_maker_detail_tab,Làm kem,Makes Ice Creams,Membuat Es Krim
jam_maker_detail_tab,Làm mứt,Makes Jam,Membuat manisan
jeweler_detail_tab,Chế tạo trang sức,Makes Jewelry,Membuat perhiasan
coffee_kiosk_detail_tab,Chế biến Cà phê,Produces Drinks,Mengolah Kopi
candy_machine_detail_tab,Làm kẹo,Produces Candy,Membuat Permen
chicken_detail_tab,Đẻ trứng,Produces Egg in 20 min,Bertelur nanti
cow_detail_tab,Cho sữa,Produces Milk in 1h,Kasih susu nanti
pig_detail_tab,Cho thịt,Produces Bacon in 4h,Kasih daging nanti
sheep_detail_tab,Cho len cừu,Produces Wool in 6h,Kasih wol domba nanti
goat_detail_tab,Cho sữa dê,Produces Goat milk in 8h,kasih susu kambing nanti
cat_house_detail_tab,Chứa được 3 con,Home for 3 Cats,cukup untuk 3 ekor
dog_house_detail_tab,Chứa được 3 con,Home for 3 Dogs,cukup untuk 3 ekor
retriever_detail_tab,Nuôi được kinh nghiệm,Feed to collect EXP,budidaya dapat exp
tabby_cat_detail_tab,Nuôi được kinh nghiệm,Feed to collect EXP,budidaya dapat exp
calico_cat_detail_tab,Nuôi được kinh nghiệm,Feed to collect EXP,budidaya dapat exp
tuxedo_cat_detail_tab,Nuôi được kinh nghiệm,Feed to collect EXP,budidaya dapat exp
hound_dog_detail_tab,Nuôi được kinh nghiệm,Feed to collect EXP,budidaya dapat exp
pinscher_dog_detail_tab,Nuôi được kinh nghiệm,Feed to collect EXP,budidaya dapat exp
brown_bear_detail_tab,Nuôi được kinh nghiệm,Feed to collect EXP,Beri makan untuk mendapatkan EXP
white_bear_detail_tab,Nuôi được kinh nghiệm,Feed to collect EXP,Beri makan untuk mendapatkan EXP
black_bear_detail_tab,Nuôi được kinh nghiệm,Feed to collect EXP,Beri makan untuk mendapatkan EXP
bear_house_detail_tab,Chứa được 3 con,Home for 3 bears,Kandang untuk 3 ekor Beruang
soup_kitchen_detail_tab,Làm súp,Makes Soup,Membuat Sup
sauce_maker_detail_tab,Làm nước sốt,Makes Sauce,Membuat Saus
sushi_bar_detail_tab,Làm sushi,Makes Sushi,Membuat Sushi
salad_bar_detail_tab,Làm salad,Makes Salads,Membuat Salad
sandwich_bar_detail_tab,Làm bánh kẹp,Makes Sandwich,Membuat Sandwich
lure_machine_detail_tab,Làm lưới,Produces Nets,Menghasilkan Jaring
lobster_machine_detail_tab,Hấp tôm,Lobster Sauna,Mengolah Lobster
fruit_olive_detail_tab,Thu hoạch 3 lần,Collect three times,Memetik tiga kali
fruit_lemon_detail_tab,Thu hoạch 3 lần,Harvest 3 times,Memetik 3 kali
seafood_fish_fillet_description,Thu được từ đánh bắt
seafood_lobster_description,Thu được từ đánh bắt
product_fish_description,Thu được từ đánh bắt
product_lobster_description,Được sản xuất từ Máy hấp tôm
empty_field_description,Dùng để trồng cây,Grow Crops,Untuk menanam pohon
chicken_habitat_description,Dùng để nuôi gà,Home for 6 Chickens,untuk budidaya ayam
cow_habitat_description,Dùng để nuôi bò,Home for 5 Cows,untuk budidaya sapi
pig_habitat_description,Dùng để nuôi heo,Home for 5 Pigs,untuk budidaya babi
sheep_habitat_description,Dùng để nuôi cừu,Home for 5 Sheeps,untuk budidaya domba
goat_habitat_description,Dùng để nuôi dê,Home for 4 Goats,untuk budidaya kambing
gold_description,Chi dùng trong trang trại,Buy farm stuff,Hanya digunakan dalam perkebunan
chicken_name,Gà tồ,Gà tồ,Ayam konyol
cow_name,Bò sữa,Bò sữa,Sapi perahan
pig_name,Heo béo,Heo béo,Babi gendut
sheep_name,Cừu bông,Cừu bông,Domba kapas
goat_name,Dê già,Dê già,Kambing tua
chicken_description,Có thể đẻ trứng,Produces Egg,Bisa kasih telur
cow_description,Có thể cho sữa,Produces Milk,bisa kasih susu
pig_description,Có thể cho ba rọi,Produces Bacon,bisa kasih daging perut
sheep_description,Có thể cho lông,Produces Wool,bisa kasih rambut
goat_description,Có thể cho sữa,Produces Milk,bisa kasih susu
good_egg_description,Thu hoạch được từ Gà,Collect from Chicken,Hasilan dari Ayam
good_milk_description,Thu hoạch được từ Bò,Collect from Cow,Hasilan dari Sapi
good_bacon_description,Thu hoạch được từ Heo,Collect from Pig,Hasilan dari Babi
good_wool_description,Thu hoạch được từ Cừu,Collect from Sheep,Hasilan dari Domba
good_goat_milk_description,Thu hoạch được từ Dê,Collect from Goat,Hasilan dari Kambing
product_bread_description,Được chế biến tại Lò Bánh Mì,Produce in Bakery,Dibuat di oven roti
product_corn_bread_description,Được chế biến tại Lò Bánh Mì,Produce in Bakery,Dibuat di oven roti
product_cookie_description, Được chế biến tại Lò Bánh Mì,Produce in Bakery,Dibuat di oven roti
product_raspberry_muffin_description, Được chế biến tại Lò Bánh Mì,Produce in Bakery,Dibuat di oven roti
product_blackberry_muffin_description, Được chế biến tại Lò Bánh Mì,Produce in Bakery,Dibuat di oven roti
product_pizza_description, Được chế biến tại Lò Bánh Mì,Produce in Bakery,Dibuat di oven roti
product_spicy_pizza_description, Được chế biến tại Lò Bánh Mì,Produce in Bakery,Dibuat di oven roti
product_potato_bread_description, Được chế biến tại Lò Bánh Mì,Produce in Bakery,Dibuat di oven roti
food_chicken_description, Được chế biến từ Máy Nghiền Thức Ăn,Produce in Feed Mill,Dibuat di oven roti
food_cow_description,Được chế biến từ Máy Nghiền Thức Ăn,Produce in Feed Mill,Dibuat di Mesin Penggiling bahan makanan
food_pig_description,Được chế biến từ Máy Nghiền Thức Ăn,Produce in Feed Mill,Dibuat di Mesin Penggiling bahan makanan
food_sheep_description,Được chế biến từ Máy Nghiền Thức Ăn,Produce in Feed Mill,Dibuat di Mesin Penggiling bahan makanan
food_goat_description,Được chế biến từ Máy Nghiền Thức Ăn,Produce in Feed Mill,Dibuat di Mesin Penggiling bahan makanan
product_cream_description,Được chế biến tại Xưởng Làm Bơ,Produce in Dairy,Dibuat di Bengkel Mentega
product_butter_description,Được chế biến tại Xưởng Làm Bơ,Produce in Dairy,Dibuat di Bengkel Mentega
product_cheese_description,Được chế biến tại Xưởng Làm Bơ,Produce in Dairy,Dibuat di Bengkel Mentega
product_goat_cheese_description,Được chế biến tại Xưởng Làm Bơ,Produce in Dairy,Dibuat di Bengkel Mentega
product_brown_sugar_description,Được chế biến từ Máy Làm Đường,Produce in Sugar Mill,Dibuat di Mesin Gula
product_white_sugar_description,Được chế biến từ Máy Làm Đường,Produce in Sugar Mill,Dibuat di Mesin Gula
product_syrup_description,Được chế biến từ Máy Làm Đường,Produce in Sugar Mill,Dibuat di Mesin Gula
product_popcorn_description,Được chế biến từ Xe Bắp Rang,Produce in Popcorn Pot,Dibuat di kerobak popcorn
product_buttered_popcorn_description,Được chế biến từ Xe Bắp Rang,Produce in Popcorn Pot,Dibuat di kerobak popcorn
product_chili_popcorn_description,Được chế biến từ Xe Bắp Rang,Produce in Popcorn Pot,Dibuat di kerobak popcorn
product_pancake_description,Được chế biến từ Bếp Nướng BBQ,Produce in BBQ Grill,Dibuat di Pembakar BBQ
product_bacon_and_eggs_description,Được chế biến từ Bếp Nướng BBQ,Produce in BBQ Grill,Dibuat di Pembakar BBQ
product_hamburger_description,Được chế biến từ Bếp Nướng BBQ,Produce in BBQ Grill,Dibuat di Pembakar BBQ
product_roasted_tomatoes_description,Được chế biến từ Bếp Nướng BBQ,Produce in BBQ Grill,Dibuat di Pembakar BBQ
product_baked_potato_description,Được chế biến từ Bếp Nướng BBQ,Produce in BBQ Grill,Dibuat di Pembakar BBQ
product_pumpkin_pie_description,Được chế biến từ Máy Nướng Bánh,Produce in Pie Oven,Dibuat di Pemanggang Roti
